 NOMBRE : TW-A40C.dat
 COMENTARIO : unknown. (cota superior)
 COST_MUL : 2
 DEMAND_MUL : 3
 VERTICES : 40
 ARISTAS_REQ : 58
 ARISTAS_NOREQ : 11
 VEHICULOS : 100
 CAPACIDAD : 75
 TIPO_COSTES_ARISTAS : EXPLICITOS 
 COSTE_TOTAL_REQ : 307
 LISTA_ARISTAS_REQ : 
 ( 6, 31)   tcoste 7.62325   scoste 8   demanda 8.83305   start 80   end 109
 ( 30, 31)   tcoste 2.54063   scoste 4   demanda 1.92639   start 97   end 108
 ( 9, 31)   tcoste 9.97025   scoste 8   demanda 11.8044   start 109   end 112
 ( 9, 33)   tcoste 6.587   scoste 6   demanda 0.698512   start 158   end 168
 ( 32, 33)   tcoste 5.1509   scoste 4   demanda 0   start 110   end 143
 ( 29, 30)   tcoste 2.0948   scoste 3   demanda 5.89582   start 90   end 102
 ( 29, 32)   tcoste 4.02383   scoste 5   demanda 11.9293   start 80   end 89
 ( 6, 29)   tcoste 4.87111   scoste 5   demanda 6.92935   start 105   end 146
 ( 6, 27)   tcoste 5.96536   scoste 7   demanda 6.82173   start 132   end 135
 ( 6, 15)   tcoste 4.78818   scoste 7   demanda 2.84959   start 186   end 197
 ( 13, 32)   tcoste 7.07987   scoste 6   demanda 6.26823   start 146   end 164
 ( 27, 28)   tcoste 5.44218   scoste 4   demanda 4.27104   start 90   end 96
 ( 15, 28)   tcoste 3.97844   scoste 4   demanda 4.05318   start 106   end 146
 ( 16, 28)   tcoste 3.94477   scoste 5   demanda 7.02067   start 122   end 148
 ( 26, 27)   tcoste 3.62977   scoste 5   demanda 0   start 134   end 153
 ( 15, 16)   tcoste 2.26305   scoste 4   demanda 3.49543   start 199   end 205
 ( 13, 14)   tcoste 5.05286   scoste 5   demanda 8.21373   start 119   end 146
 ( 1, 14)   tcoste 6.3578   scoste 5   demanda 5.79315   start 146   end 176
 ( 13, 34)   tcoste 6.34403   scoste 5   demanda 1.19641   start 178   end 198
 ( 34, 35)   tcoste 3.19801   scoste 4   demanda 0   start 145   end 167
 ( 2, 35)   tcoste 8.88762   scoste 6   demanda 2.63197   start 112   end 134
 ( 2, 3)   tcoste 9.99661   scoste 14   demanda 1.18608   start 134   end 146
 ( 2, 7)   tcoste 10.0374   scoste 9   demanda 2.93807   start 164   end 171
 ( 7, 34)   tcoste 4.07828   scoste 4   demanda 8.18673   start 91   end 99
 ( 1, 13)   tcoste 4.08698   scoste 4   demanda 8.64067   start 89   end 109
 ( 12, 13)   tcoste 5.11531   scoste 4   demanda 0.631113   start 157   end 187
