 NOMBRE : TW-C60A.dat
 COMENTARIO : unknown. (cota superior)
 COST_MUL : 1
 DEMAND_MUL : 2
 VERTICES : 60
 ARISTAS_REQ : 76
 ARISTAS_NOREQ : 13
 VEHICULOS : 100
 CAPACIDAD : 25
 TIPO_COSTES_ARISTAS : EXPLICITOS 
 COSTE_TOTAL_REQ : 515
 LISTA_ARISTAS_REQ : 
 ( 1, 2)   tcoste 3.25587   scoste 4   demanda 4.87454   start 25   end 70
 ( 1, 16)   tcoste 5.30015   scoste 5   demanda 9.30333   start 30   end 75
 ( 1, 18)   tcoste 4.49591   scoste 6   demanda 11.0235   start 20   end 75
 ( 2, 9)   tcoste 4.5222   scoste 6   demanda 4.24574   start 15   end 60
 ( 2, 20)   tcoste 9.05   scoste 7   demanda 6.79919   start 20   end 75
 ( 3, 5)   tcoste 5.66768   scoste 6   demanda 2.94626   start 35   end 80
 ( 3, 8)   tcoste 4.03915   scoste 6   demanda 4.75033   start 25   end 65
 ( 4, 35)   tcoste 5.97241   scoste 6   demanda 1.3825   start 25   end 65
 ( 4, 17)   tcoste 4.02644   scoste 5   demanda 9.38597   start 30   end 75
 ( 5, 6)   tcoste 5.15032   scoste 5   demanda 0   start 30   end 75
 ( 5, 7)   tcoste 6.61326   scoste 6   demanda 8.65716   start 30   end 75
 ( 6, 34)   tcoste 12.0034   scoste 8   demanda 1.17842   start 25   end 65
 ( 7, 8)   tcoste 4.44185   scoste 5   demanda 3.69604   start 15   end 60
 ( 7, 12)   tcoste 4.92295   scoste 6   demanda 5.56879   start 30   end 75
 ( 8, 9)   tcoste 5.17137   scoste 6   demanda 9.22176   start 30   end 75
 ( 8, 10)   tcoste 5.54183   scoste 8   demanda 8.79217   start 25   end 65
 ( 9, 23)   tcoste 10.1189   scoste 8   demanda 0.785811   start 30   end 75
 ( 9, 21)   tcoste 8.66487   scoste 7   demanda 3.31143   start 45   end 90
 ( 10, 11)   tcoste 5.23504   scoste 5   demanda 4.91372   start 25   end 65
